Country,Year,BEV Percentage (Total Number Of Registrations),GDP,CPI,EG,Recharging Points,AC Recharging Speed (km/h),DC Recharging Speed (km/h),Available,Battery Capacity,Real Range,Purchase price (EUR)
Malta,2022,1.94,"17,974.70",6.153756219330356,5.1,297.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
Malta,2023,14.95,"20,911.20",5.093967589788786,6.8,332.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Malta,2024,38.78,"23,071.00",1.650794692831084,5.0,427.0,,,,,,
Malta,2025,32.88,,,,,,,,,,
Netherlands,2020,20.43,"816,463.00",1.272460377891656,-0.5,224164.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
Netherlands,2021,19.89,"891,550.00",2.675720088053855,1.7,313050.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
Netherlands,2022,23.32,"993,820.00",10.00120787534726,3.2,403405.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
Netherlands,2023,30.52,"1,050,133.00",3.838393543428104,1.7,558810.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Netherlands,2024,34.45,"1,122,459.00",3.347543042199504,1.0,675302.0,,,,,,
Netherlands,2025,36.68,,3.259576645136613,,,,,,,,
Poland,2020,0.86,"2,362,909.00",3.374469726185885,0.2,3050.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
Poland,2021,1.6,"2,661,518.00",5.055027047192688,2.9,10794.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
Poland,2022,2.69,"3,100,850.00",14.42945075757578,1.1,11542.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
Poland,2023,3.6,"3,415,274.00",11.52891279611048,0.1,20247.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Poland,2024,3.0,"3,653,432.00",3.784260075128692,-0.7,32839.0,,,,,,
Poland,2025,6.73,,3.820546047633888,,,,,,,,
Portugal,2020,5.4,"201,032.70",-0.0124383299575331,-2.0,7431.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
