Country,Year,BEV Percentage (Total Number Of Registrations),GDP,CPI,EG,Recharging Points,AC Recharging Speed (km/h),DC Recharging Speed (km/h),Available,Battery Capacity,Real Range,Purchase price (EUR),Log_BEV Percentage (Total Number Of Registrations),Log_Recharging Points,Log_GDP,Log_CPI,Log_EG,Log_Available,Log_AC Recharging Speed (km/h)
France,2022,13.27,2653997.2,5.222367483697355,2.3,280632.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27,2.658159431488745,12.544803044867416,14.791577815652508,1.8281504587206434,1.1939224684724346,5.537334267018537,3.918299562862077
France,2023,16.73,2826541.5,4.878357265084381,1.1,430395.0,70.307692307692,649.23076923077,371.0,79.230769230769,379.51078544947944,45999.05,2.8752581200861167,12.972460994106228,14.85456479124837,1.7712773461912694,0.7419373447293773,5.918893854273146,4.267004208104314
France,2024,16.92,2919899.9,1.99904942291464,0.8,571796.0,92.17635463782075,744.7369398802483,551.3231432955934,88.12346395201945,416.9419762403914,48874.922227563424,2.8859174075467844,13.256539312266868,14.887060235312381,1.0982953794292276,0.5877866649021191,6.314133279515715,4.534493983900053
France,2025,20.01,3016341.8531162585,0.943770212469979,0.5818181818181819,759652.564774219,120.84709475506058,854.2927043943777,819.2916666666667,98.01425600557052,458.0650095236485,51930.59471337719,3.044998514856909,13.540617772514386,14.919555679738064,0.6646294955897226,0.45857493342211286,6.709659968072142,4.802766936988945
Germany,2020,6.56,3450720.0,0.1448779258139629,-0.7,150624.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38,2.0228711901914416,11.922548583227057,15.054093752680359,0.13529801631277943,-1.203972804325936,4.584967478670572,3.696979093414722
Germany,2021,13.4,3682340.0,3.0666666666667,0.2,204664.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01,2.667228206581955,12.229129775105537,15.11905924919735,1.4028236630711095,0.18232155679395465,5.1298987149230735,3.7353895882770836
Germany,2022,17.51,3989390.0,6.872574385510962,1.3,291730.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27,2.9183111265854063,12.583587423777912,15.199149145637714,2.063385122727185,0.832909122935104,5.537334267018537,3.918299562862077
Germany,2023,18.28,4219310.0,5.946436677258284,0.7,405023.0,70.307692307692,649.23076923077,371.0,79.230769230769,379.51078544947944,45999.05,2.9590682891823996,12.911701603592174,15.255182402539994,1.9382288197886932,0.5306282510621704,5.918893854273146,4.267004208104314
Germany,2024,13.47,4328970.0,2.256498143387575,0.1,581995.0,92.17635463782075,744.7369398802483,551.3231432955934,88.12346395201945,416.9419762403914,48874.922227563424,2.6720775406433925,13.274218853837723,15.28084042739498,1.1806524288790452,0.09531017980432487,6.314133279515715,4.534493983900053
Germany,2025,19.08,4470480.0,2.171787709497235,0.014285714285714289,836293.6920248973,120.84709475506058,854.2927043943777,819.2916666666667,98.01425600557052,458.0650095236485,51930.59471337719,2.9997242948235283,13.636736332374582,15.313006567064594,1.1542953751449216,0.014184634991956435,6.709659968072142,4.802766936988945
Greece,2020,0.84,167539.5,-1.247983555814084,-2.6,814.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38,0.6097655716208943,6.703188113240863,12.028980392065291,,,4.584967478670572,3.696979093414722
Greece,2021,2.1,184574.6,1.223825010198541,5.1,1950.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01,1.1314021114911006,7.576097340623111,12.125814414633176,0.7992286908280236,1.8082887711792655,5.1298987149230735,3.7353895882770836
Greece,2022,2.51,207008.7,9.645259812806383,3.5,3051.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27,1.2556160374777743,8.023552392404348,12.240520931052997,2.365114705074969,1.5040773967762742,5.537334267018537,3.918299562862077
Greece,2023,4.5,224686.2,3.464801285134019,2.0,8952.0,70.307692307692,649.23076923077,371.0,79.230769230769,379.51078544947944,45999.05,1.7047480922384253,9.099743950634156,12.322464491708851,1.4962247083289069,1.0986122886681098,5.918893854273146,4.267004208104314
Greece,2024,5.92,236736.0,2.741490457886056,0.9,24539.0,92.17635463782075,744.7369398802483,551.3231432955934,88.12346395201945,416.9419762403914,48874.922227563424,1.9344157696295783,10.108059718264903,12.37470509929783,1.3194840501905247,0.6418538861723948,6.314133279515715,4.534493983900053
Greece,2025,5.81,249432.02428987628,2.481626943608336,0.405,67265.69716264521,120.84709475506058,854.2927043943777,819.2916666666667,98.01425600557052,458.0650095236485,51930.59471337719,1.918392120161421,11.116420551592876,12.426945718417384,1.2474996970675798,0.3400373027857091,6.709659968072142,4.802766936988945
Hungary,2020,2.32,48807766.0,3.326743857667302,-2.0,3205.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38,1.199964782928397,8.072779333169498,17.70340001799486,1.4648152632038445,,4.584967478670572,3.696979093414722
